"","(Intercept)","aspect","dforcore","dfresh","dmarine","elev","pgra","ptcc","pwet","road","slope","df","logLik","AICc","delta","weight"
"843",-5.07138795816579,NA,0.234988956213077,NA,0.35421421080277,NA,NA,0.519303582637923,NA,0.449533157803882,0.141029859204469,6,-138.262205696098,288.55648470262,19.6762107685216,2.03393058962196e-06
"74",-4.88922237109691,-0.307137367555442,NA,NA,0.354717817702782,NA,NA,0.134405236024157,NA,NA,NA,4,-140.315633334039,288.646528018708,19.7662540846096,1.94439040975284e-06
"1002",-5.08333455655887,-0.326335175167909,NA,NA,0.254911082289612,NA,-0.148621288234489,0.448639829002492,-0.339537146089692,0.446766624629774,-0.0473158804321214,8,-136.33153239694,288.718089631479,19.8378156973808,1.87604850829811e-06
"314",-4.97247399593009,-0.337562182434171,NA,NA,0.396056119053956,0.0805164100752712,-0.268797579015158,NA,NA,0.339542285889048,NA,6,-138.348517567849,288.729108446121,19.8488345120224,1.8657410130796e-06
"489",-5.04898168730505,NA,NA,NA,0.271237118159213,NA,-0.130037712418497,0.500402213293001,-0.346952813067097,0.442727183247327,NA,6,-138.355922408541,288.743918127507,19.8636441934082,1.85197652292607e-06
"202",-4.96120519939578,-0.301893905711814,NA,NA,0.349293867747361,NA,NA,0.171434556317991,-0.378651179546739,NA,NA,5,-139.376397752395,288.775696268149,19.8954223340506,1.82278288181751e-06
"284",-5.02014362584062,-0.331202108904894,0.142557596165415,NA,0.516788805016267,0.101028731281631,NA,NA,NA,0.322133893171089,NA,6,-138.387515044608,288.807103399639,19.9268294655409,1.79438227006552e-06
"810",-4.96460498780379,-0.362706868328051,NA,NA,0.425216952462997,NA,-0.275573657305336,NA,NA,0.317488170354896,-0.0462519473994592,6,-138.409061926628,288.850197163679,19.9699232295808,1.75613248859277e-06
"971",-5.15925620173788,NA,0.251859912799811,NA,0.356372283943737,NA,NA,0.564722171103892,-0.364373773478634,0.447396589906618,0.141424976424449,7,-137.404116078576,288.851012905815,19.9707389717169,1.75541635901323e-06
"170",-4.95881823287785,-0.318915865035807,NA,NA,0.382474406466619,NA,-0.259854946740263,NA,-0.352018895194646,NA,NA,5,-139.421853803555,288.866608370468,19.9863344363696,1.74178132239665e-06
