,(Intercept),aspect,bldg,dforcore,dfresh,dmarine,elev,pfor,pgra,ptcc,pwet,road,slope,df,logLik,AICc,delta,weight
1834,-4.856163588,0.4600,,,-0.0768,,0.7013,,,-0.4260,0.3324,0.2976,,8,-112.3599399,240.7880617,11.41537873,4.13E-05
3144,-4.693351838,0.4832,1.0205,0.1363,,,,0.3602,,,,0.3871,0.1775,8,-112.3626692,240.7935203,11.4208373,4.12E-05
1356,-4.775903668,0.4941,0.9543,,0.0787,,,0.5018,,-0.2683,,0.3842,,8,-112.3658588,240.7998993,11.42721636,4.11E-05
3778,-5.923159557,0.4595,,,,,,-0.0859,-4.9083,,0.1689,0.3475,0.1480,8,-112.3728484,240.8138785,11.44119554,4.08E-05
2514,-6.151651025,0.4350,,,,-0.1107,,0.2552,-5.8387,-0.6820,,,0.1563,8,-112.3751405,240.8184628,11.44577986,4.07E-05
3222,-5.762425783,0.4563,,0.8901,,-0.2116,,,-5.3962,,,0.3635,0.1642,8,-112.3810373,240.8302564,11.45757339,4.05E-05
1686,-5.75558547,0.4742,,1.0000,,-0.1601,,,-5.3834,,0.1500,0.3597,,8,-112.3836442,240.8354703,11.46278732,4.04E-05
1364,-4.802905224,0.4968,0.9656,,,-0.0987,,0.5410,,-0.2612,,0.3978,,8,-112.3890268,240.8462354,11.47355246,4.01E-05
1890,-4.8581959,0.4613,,,,,0.6689,-0.0874,,-0.3481,0.3450,0.2958,,8,-112.4028191,240.87382,11.50113705,3.96E-05
1387,-4.677810816,,0.9094,,-0.0494,,0.5117,0.3318,,-0.2762,,0.3156,,8,-112.4043151,240.876812,11.50412907,3.95E-05
1564,-4.841375566,0.4941,0.8539,,0.1423,0.0605,,,,,0.2565,0.3502,,8,-112.4093514,240.8868846,11.51420163,3.93E-05
2962,-6.090990613,0.4439,,,,-0.0362,,,-5.4946,-0.5154,0.1319,,0.1534,8,-112.414441,240.8970637,11.52438076,3.91E-05
