"","(Intercept)","aspect","dforcore","dfresh","dmarine","elev","pgra","ptcc","pwet","road","slope","df","logLik","AICc","delta","weight"
"349",-5.42507632115042,NA,NA,-1.40029276553664,0.231800702689354,0.136777775273801,NA,0.52562822155915,NA,0.424265702028674,NA,7,-130.972661178758,275.988103106179,5.09712173384122,0.00293204647657175
"510",-5.52948511708434,-0.279046838937797,NA,-1.41686118579846,0.21602726606226,0.00605898966569067,0.136826602328622,0.630059752783055,-0.460633660036831,0.427517082628056,NA,10,-127.952513579847,275.989157178815,5.0981758064766,0.00293050158873519
"864",-5.78726450400846,-0.343762610677164,0.389217067222974,-1.5062137835844,0.398636774730424,0.17836935305635,NA,0.790831204258337,NA,0.388352891508252,-0.101213539168456,10,-127.959640438896,276.003410896912,5.11242952457394,0.00290969056367776
"384",-5.79997344195111,-0.297683081374228,0.40522590752847,-1.52743306846695,0.430155453486571,0.19098400726347,0.172217127646972,0.843717306190255,NA,0.394720648127246,NA,10,-127.977820457264,276.039770933648,5.14878956131025,0.00285727028043169
"376",-5.50257236154784,-0.286076738919848,0.227796017699302,-1.49326795098271,NA,0.178263582188619,0.0403362305297627,0.673559809066047,NA,0.443198776784477,NA,9,-128.991625682282,276.052058704013,5.16107733167456,0.00283976935677814
"839",-5.40798699668248,NA,0.217383570297509,-1.36760481191688,NA,NA,NA,0.81454774930162,NA,0.429059031459274,0.0872704337327768,7,-131.005487022219,276.053754793102,5.16277342076381,0.00283736212673056
"288",-5.53548512713424,-0.301715348339723,0.218028104292212,-1.48163911799657,0.454518255286798,0.343791016692606,NA,NA,NA,0.321905961529845,NA,8,-130.012320324953,276.079665487507,5.18868411516871,0.0028008402031615
"72",-5.38809054198961,-0.283713044501977,0.257137428800354,-1.47136880019058,NA,NA,NA,0.583017361917986,NA,NA,NA,6,-132.058290107175,276.148653524773,5.25767215243536,0.00270587524638309
"845",-5.38325883286935,NA,NA,-1.30275153418979,0.236703635549095,NA,NA,0.594732344072046,NA,0.42148597133508,0.0881941049361089,7,-131.060685356406,276.164151461476,5.27317008913769,0.0026849885344858
"14",-5.26785974732883,-0.302272021582709,NA,-1.26283835892381,0.438652061700005,NA,NA,NA,NA,NA,NA,5,-133.097050522128,276.217001807614,5.32602043527601,0.00261496649462638
"367",-5.48405033074078,NA,0.278924717053289,-1.38588729634751,0.324300407011618,NA,0.18096827764427,0.682303761110774,NA,0.388379953053819,NA,8,-130.088912207082,276.232849251764,5.34186787942588,0.00259432810131635
"847",-5.48798054513038,NA,0.270704605940226,-1.33914015694568,0.299648037122312,NA,NA,0.654776248326694,NA,0.396950414983819,0.0715424473200255,8,-130.098631413989,276.252287665578,5.36130629324032,0.00256923542768496
"365",-5.37478195460588,NA,NA,-1.34225595973025,0.260004530731764,NA,0.161162215296591,0.619071779795099,NA,0.410692172535219,NA,7,-131.110149659604,276.263080067871,5.37209869553288,0.00255540865609715
"197",-5.37595537080791,NA,NA,-1.49765145114989,NA,NA,NA,0.573630278643943,-0.504100424208484,NA,NA,5,-133.122834629532,276.268570022422,5.37758865008391,0.00254840373597823
"359",-5.40659974455174,NA,0.222710357202514,-1.39373090103813,NA,NA,0.0447762792582783,0.833727388083352,NA,0.419216977620362,NA,7,-131.113931769263,276.270644287189,5.37966291485071,0.00254576207405102
"862",-5.46051640097826,-0.333217169957019,NA,-1.39970114832636,0.217754255599299,0.132719489209796,NA,0.489278086959913,NA,0.424639274995741,-0.110294227066992,9,-129.103729975483,276.276267290416,5.38528591807824,0.00253861471198961
"216",-5.54654532222915,-0.282899079842896,0.294181715686353,-1.58502531619901,NA,-0.0168332508362924,NA,0.646098185285949,-0.551828365478868,NA,NA,8,-130.125192721573,276.305410280746,5.41442890840779,0.00250189150577905
"232",-5.5480208504906,-0.2827428111067,0.294518353326099,-1.60099769844778,NA,NA,0.0310645695324983,0.639445187128082,-0.545781588932782,NA,NA,8,-130.125366000145,276.305756837889,5.41477546555132,0.00250145801915027
"981",-5.47763279979211,NA,NA,-1.43685506259777,NA,0.050174618653508,NA,0.753596483575528,-0.460090423203031,0.45490804971358,0.094792536473416,8,-130.136479694143,276.327984225886,5.43700285354805,0.00247381149225663
"414",-5.47070445193143,-0.308930615351214,NA,-1.42823708942724,0.396766432515851,0.260539237771183,NA,NA,-0.295286808024667,0.318254695169849,NA,8,-130.138529791732,276.332084421063,5.44110304872527,0.00246874513232228
"997",-5.46436370136102,NA,NA,-1.42288647690074,NA,NA,0.0546641316509282,0.796558034891097,-0.481215827222722,0.449765033411386,0.0894403534013579,8,-130.151139927847,276.357304693295,5.46632332095697,0.00243780938211646
"382",-5.44270807852295,-0.279668443762095,NA,-1.40386641882699,0.225873639817415,0.141722453951069,0.129478004972266,0.496937253403644,NA,0.433189775062781,NA,9,-129.172493581667,276.413794502784,5.5228131304454,0.00236991700865254
"872",-5.45338192795857,-0.342763181569068,0.224157609094317,-1.40438439079309,NA,NA,0.0371766626292359,0.786682711658408,NA,0.41407438020366,-0.128684202490838,9,-129.180193133216,276.429193605881,5.53821223354282,0.0023517397785385
"78",-5.33182481669986,-0.279572976225931,NA,-1.35699583171612,0.266145384780468,NA,NA,0.323651563957489,NA,NA,NA,6,-132.201204437739,276.434482185901,5.5435008135629,0.00234552931129292
"400",-5.5094412125976,-0.310184005907714,0.200275354900774,-1.33853814486399,0.594705928025495,NA,NA,NA,-0.397541988415884,0.221002724668137,NA,8,-130.190228787715,276.43548241303,5.54450104069235,0.00234435657354335
"880",-5.67840541239978,-0.34683461480097,0.359258958663478,-1.42974168111406,0.407957921986516,NA,0.176621858833815,0.830464783423671,NA,0.371282340362758,-0.124812499770103,10,-128.177096008069,276.438322035258,5.54734066291979,0.00234103039185933
"214",-5.40304551881408,-0.288650098492256,NA,-1.48122003561008,NA,-0.0208954567337141,NA,0.527639864968102,-0.515957293144681,NA,NA,7,-131.239441998264,276.521664745192,5.6306833728537,0.00224548114312898
"230",-5.40306534076013,-0.288421379045533,NA,-1.49819373228617,NA,NA,0.0390746667889518,0.519277964924351,-0.508548948231018,NA,NA,7,-131.239456215626,276.521693179915,5.63071180757737,0.00224544921853802
"878",-5.41475699707263,-0.336758427573816,NA,-1.34554534316603,0.247226720267519,NA,0.143174451859542,0.577185441169255,NA,0.409677365415963,-0.125292970107172,9,-129.236057006886,276.540921353222,5.64993998088431,0.00222396471758725
"501",-5.47225047232769,NA,NA,-1.45983879806839,NA,0.0362612601698365,0.0611633373647988,0.786235287219845,-0.469140288266005,0.442837277951245,NA,8,-130.256849248117,276.568723333835,5.67774196149685,0.00219326329011682
"1014",-5.52182690485624,-0.345634719271724,NA,-1.47248232117082,NA,0.0251653812752806,0.0528376746133517,0.741984853751281,-0.485044213623451,0.438833110548211,-0.12248727237641,10,-128.267117293925,276.61836460697,5.72738323463238,0.00213949513931719
"983",-5.5789689290981,NA,0.252048753064184,-1.50528356684968,NA,0.0537110688860113,NA,0.840428865795939,-0.49343093292894,0.43203216143705,0.0812938748301912,9,-129.28777061382,276.644348567089,5.75336719475047,0.00211187864604716
"999",-5.56500418700196,NA,0.251699037115331,-1.49191381687703,NA,NA,0.0622735130439486,0.887345366542325,-0.516407742394395,0.4261176098974,0.0753331800099031,9,-129.304156429955,276.677120199359,5.78613882702138,0.00207755576303446
"272",-5.40133941838026,-0.311346591076964,0.180488274129182,-1.25374961238576,0.576490259144965,NA,NA,NA,NA,0.252378929201223,NA,7,-131.317473789381,276.677728327426,5.78674695508789,0.00207692414908025
"278",-5.35438251134115,-0.334931488113253,NA,-1.53987323074857,NA,0.483466903068412,NA,NA,NA,0.354684772796619,NA,6,-132.343287669712,276.718648649847,5.82766727750874,0.00203486171558479
"96",-5.82657104928908,-0.303484946281943,0.480493163705481,-1.56497865658253,0.513101602002727,0.151097624600352,NA,0.748630125620729,NA,NA,NA,8,-130.33282670674,276.720678251081,5.82969687874248,0.00203279778407717
"16",-5.3715515568404,-0.300239028042677,0.227913807973872,-1.2995814546238,0.534104402475183,NA,NA,NA,NA,NA,NA,6,-132.348028753564,276.728130817553,5.83714944521461,0.00202523709914727
"592",-5.7454344885732,-0.366664317294832,0.443625484023719,-1.49503418808685,0.490998816236444,NA,NA,0.752541312561954,NA,NA,-0.152352680555156,8,-130.344895744388,276.744816326377,5.85383495403858,0.00200841132763434
"853",-5.38251853467916,NA,NA,-1.42113475470425,NA,0.170637583879208,NA,0.62760868868533,NA,0.463671186791055,0.114528344167765,7,-131.354508681974,276.751798112612,5.86081674027355,0.00200141240171239
"718",-5.46189809425952,-0.357725505713864,NA,-1.46755637454607,0.250353548734612,NA,NA,0.381344482309124,-0.476351324432774,NA,-0.175277048494877,8,-130.353003200862,276.761031239324,5.87004986698605,0.00199219404948374
"205",-5.41861904226239,NA,NA,-1.44206592112825,0.273407404019291,NA,NA,0.406736424544311,-0.47379466492672,NA,NA,6,-132.388215968332,276.808505247088,5.91752387474958,0.00194546216329789
"503",-5.57539756636876,NA,0.257459458275595,-1.53205698858172,NA,0.0426837776798485,0.0705446132246209,0.871261107756453,-0.501792409686032,0.420865405094733,NA,9,-129.370471093555,276.809749526559,5.91876815422097,0.00194425219040695
"1016",-5.63241562613106,-0.347899134511852,0.259792963272692,-1.5560371786383,NA,0.0317234099938455,0.0625029357481522,0.832132705171773,-0.517485168135479,0.415431990954666,-0.136225540370696,11,-127.379479941892,276.859954528008,5.9689731556698,0.00189605407590969
"1007",-5.62383935108908,NA,0.305587509454883,-1.47096476264,0.308571265692596,NA,0.182840734007012,0.737933759538314,-0.489664868800137,0.395382571824106,0.0558604119565068,10,-128.426505994639,276.937142008398,6.04616063605988,0.00182427233008204
"416",-5.58306176886749,-0.303284166165138,0.221920913573148,-1.49481070545384,0.479039469969321,0.282310841355414,NA,NA,-0.301075099637628,0.290021736974857,NA,9,-129.466625452376,277.002058244201,6.11107687186256,0.00176601053280398
"79",-5.66110332766381,NA,0.423639482387653,-1.47541675283328,0.485616114368599,NA,NA,0.729594625062046,NA,NA,NA,6,-132.485225395095,277.002524100615,6.11154272827645,0.00176559922704135
"112",-5.76418620982308,-0.29889755407819,0.462820450495629,-1.51226182285387,0.537535730380755,NA,0.179205607823834,0.82315481192479,NA,NA,NA,8,-130.474412970773,277.003850779146,6.11286940680816,0.001764428424109
"511",-5.6292458730658,NA,0.309858009413258,-1.49019557424968,0.3132931332715,0.00944475818618529,0.189119788196594,0.738229977618398,-0.487610362833389,0.389197969307654,NA,10,-128.471358954692,277.026847928504,6.13586655616615,0.00174425621022156
