"","(Intercept)","aspect","bldg","dforcore","dfresh","dmarine","elev","pfor","pgra","ptcc","pwet","road","slope","df","logLik","AICc","delta","weight"
"1952",0,5.21260176124085,4.37296357572431,0.798508612177966,2.90556253185756,0.338012884468919,NA,NA,-61.9466659869897,-2.06775933989761,3.07560901466809,2.80722372369828,NA,11,-109.011014316092,240.147206441573,10.7745234617256,5.69421435799568e-05
"3470",0,4.66355757787045,NA,-0.0730664349958598,3.09826400949545,NA,NA,NA,-66.2994798100715,-4.10015290595914,NA,2.73106039407491,1.94607650779175,9,-111.031701412368,240.148670470401,10.7759874905543,5.69004763624354e-05
"1907",0,NA,5.26826192035206,NA,NA,-0.530252009335952,5.01751103948636,1.7503697257558,NA,-1.64472284495941,3.86116260768854,2.93002758058813,NA,9,-111.034361899601,240.153991444867,10.7813084650196,5.67492945693298e-05
"1497",0,NA,NA,NA,2.72695355876418,-0.734633407302403,NA,3.11214954310102,-73.2849937671458,-5.7985223341757,NA,2.88934260021272,NA,8,-112.042984214842,240.154150247865,10.7814672680179,5.67447887691529e-05
"1612",0,5.17594394186265,5.6812318416855,NA,1.24542777668226,NA,NA,2.54533125676699,NA,NA,2.35752756467978,3.525330847037,NA,8,-112.0454254635,240.159032745182,10.7863497653354,5.66064295829809e-05
"372",0,5.03320850759717,5.29487901498261,NA,NA,-1.08669650444738,3.93695307602253,2.29115441480227,NA,-1.54348305193412,NA,NA,NA,8,-112.045719694269,240.159621206719,10.7869382268723,5.65897766797241e-05
"736",0,5.03200621442075,5.85167049321238,1.22951029222839,2.00971284561993,-0.622241390449306,NA,1.5099453125863,-56.5020490572203,NA,2.41707773307855,NA,NA,10,-110.029065692396,240.162396787636,10.7897138077886,5.65112963973108e-05
"3205",0,NA,NA,0.811133917525237,NA,NA,NA,NA,-54.4647909714816,NA,NA,2.90806823687148,0.647518948279426,6,-114.065251168558,240.170237436453,10.797554456606,5.62901874752136e-05
"983",0,NA,5.15927142141542,1.2573696499887,NA,-1.09648987316597,NA,3.80819174577802,-62.6208722222574,-3.32389478921637,1.64959426487171,NA,NA,9,-111.046453298958,240.178174243582,10.8054912637354,5.60672479441686e-05
"4095",0,NA,4.6885356652154,-0.593007243435629,0.818270700484898,-1.48485765371588,5.92603788875752,3.16331992126938,-75.2415386650106,-4.83718158917721,3.48428367057585,2.68390939622685,0.488184487936635,13,-107.004111076894,240.180979628872,10.808296649025,5.59886579595463e-05
"4051",0,NA,5.16353044921927,NA,NA,-1.2647193595167,NA,5.18790119601575,-62.9621241538756,-3.75060079653881,1.54835541075533,3.2334615960085,0.536859084966705,10,-110.046669150316,240.197603703475,10.8249207236277,5.55252069255888e-05
"2059",0,NA,4.67916486553419,NA,1.21228635968899,NA,NA,NA,NA,NA,NA,NA,0.903091617190318,5,-115.084717032546,240.197802859419,10.8251198795721,5.55196781133545e-05
"3639",0,NA,5.19973088163148,-1.12017083813081,NA,-0.676479359833035,5.63186946151845,NA,NA,NA,3.95345904241434,2.77506454565387,0.557456192018612,9,-111.056929490262,240.19912662619,10.8264436463428,5.54829427194675e-05
"2241",0,NA,NA,NA,NA,NA,NA,-1.13267368180914,-52.7006317320059,NA,NA,NA,0.670916053236193,5,-115.086549113228,240.201467020783,10.8287840409355,5.5418054703199e-05
"64",0,4.94254796537561,5.05807574335506,-1.02991004562726,-1.00696174010729,-1.58025989798421,5.23220626249009,NA,NA,NA,NA,NA,NA,8,-112.067941868573,240.204065555328,10.8313825754808,5.53460985936396e-05
"1655",0,NA,5.46557722426818,-1.1101147486817,NA,-0.84325187124146,5.48784447717403,0.731195123867875,NA,NA,3.85856008133254,2.84864520618269,NA,9,-111.060963279598,240.207194204861,10.8345112250136,5.52595870046382e-05
"312",0,4.91907026304986,4.66520660337462,-1.64378960360599,NA,-0.962687910102666,4.93266184091372,NA,NA,-1.03034702831441,NA,NA,NA,8,-112.070115078289,240.208411974759,10.8357289949124,5.52259505152178e-05
"3180",0,4.94991792030657,5.64501173701171,NA,-0.329137513828369,NA,3.73126070450815,1.76885146150476,NA,NA,NA,3.01653314930251,1.88534808137194,9,-111.061633084513,240.208533814691,10.8358508348436,5.52225862546883e-05
"2746",0,4.59681333386011,NA,NA,-0.336169624239369,-2.35897512648707,5.14055708424852,NA,-59.2285356054674,NA,2.4226898297691,NA,1.34479628785236,9,-111.063892474961,240.213052595587,10.8403696157398,5.50979577160664e-05
